group,sc1,sc2_1,sc4,sc5,q1_1,q2_1,q4_1,q5_1,q5_2,q5_3,q5_4,q6_1,q6_2,q6_3,q6_4,q6_5,q6_6,q6_7,q6_8,q6_9,q6_10,q6_11,q6_12,q6_13,q6_14,q6_15,q6_16,q6_17,q6_18,q6_19,q6_20,q6_21,q6_22,q6_23,q6_24,q6_25,q6_26,q6_27,q6_28,q6_29,q6_30,q6_31,q6_32,q6_33,q7_1,q7_2,q7_3,q7_4,q7_5,q7_6,q7_7,q7_8,q7_9,q7_10,q7_11,q7_12,q7_13,q7_14,q7_15,q7_16,q7_17,q7_18,q7_19,q7_20,q7_21,q7_22,q7_23,q7_24,q7_25,q7_26,q7_27,q7_28,q7_29,q7_30,q7_31,q7_32,q7_33,q8_1,q8_2,q8_3,q8_4,q8_5,q8_6,q8_7,q8_8,q8_9,q8_10,q8_11,q8_12,q8_13,q8_14,q8_15,q8_16,q8_17,q8_18,q8_19,q8_20,q8_21,q8_22,q8_23,q8_24,q8_25,q8_26,q8_27,q8_28,q8_29,q8_30,q8_31,q8_32,q8_33
14,1,55,1,4,3,20,1,5,5,5,5,2,2,2,2,2,2,2,2,2,2,4,4,2,2,2,3,3,2,3,3,3,3,3,2,2,3,2,3,2,2,2,1,2,2,2,2,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,8,15,15,3,3,1,15,15,15,15,15,15,15,15,8,15
4,1,52,2,2,3,1,2,3,3,3,3,5,9,3,1,3,3,1,2,2,3,5,5,2,4,2,4,3,3,3,2,3,2,3,2,2,3,1,4,1,2,4,1,4,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,15,2,2,2,7,2,4,2,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
16,2,29,1,4,4,100,1,3,3,3,3,3,6,2,2,4,2,2,2,2,2,5,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,15,15,15,15,15,15,15,15,15,15,1,1,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
17,2,38,2,4,2,90,5,5,5,4,3,2,5,2,2,4,3,2,4,4,3,8,8,2,2,2,4,4,3,3,3,3,2,4,3,2,4,2,3,2,2,5,2,2,2,2,3,2,2,3,2,2,2,2,3,3,2,3,2,2,2,2,2,3,2,2,2,3,3,3,2,2,2,2,2,2,2,8,6,1,6,14,3,1,15,15,15,8,15,2,1,10,2,10,10,10,1,8,5,1,2,8,2,3,14,14,14,15,15,15
15,1,61,2,3,2,50,5,3,2,3,3,3,5,3,1,3,4,2,2,2,3,6,5,2,3,2,7,4,3,3,5,2,1,2,3,2,2,2,3,2,2,1,1,2,3,1,3,2,3,3,2,2,2,2,1,1,2,2,3,3,2,2,2,3,3,2,2,3,3,3,2,2,2,2,3,2,2,4,4,1,4,4,1,1,1,1,1,4,4,1,1,2,2,5,5,5,2,3,3,2,2,2,2,2,4,4,4,1,8,1
17,2,35,2,4,1,100,1,4,3,2,2,2,4,2,2,3,3,2,2,2,2,4,3,2,3,3,4,2,3,2,1,2,2,3,3,3,3,2,3,2,2,4,2,1,2,1,2,1,3,3,3,3,3,3,2,2,2,3,3,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,2,1,2,3,3,1,4,6,3,1,1,1,1,4,4,1,1,1,2,4,4,3,1,1,5,2,2,2,3,3,6,1,3,14,6,15
19,2,52,2,3,1,100,1,1,3,1,3,1,5,2,1,2,2,1,2,2,2,3,3,2,3,3,3,3,3,3,3,3,1,1,2,2,2,2,2,2,2,1,1,1,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,14,1,1,12,12,12,2,15,1,1,4,2,7,7,7,15,2,2,2,5,2,2,4,4,7,7,15,15,15
19,2,50,1,4,3,10,2,3,3,3,3,5,8,5,3,8,5,5,5,5,5,8,5,5,5,5,8,8,9,9,5,8,5,7,7,7,5,5,6,5,5,8,3,8,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,15,15,15,15,14,15,15,15,15,15,15,15,15,15,15,15,8,8,8,15,3,3,2,2,2,15,3,14,14,14,14,15,15
17,2,34,2,4,2,60,1,3,3,3,3,3,4,3,1,3,2,1,1,1,1,5,4,1,1,1,1,3,2,3,3,2,2,1,2,1,3,1,3,2,2,1,1,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,3,2,2,2,2,2,2,2,12,4,1,14,14,1,1,1,1,1,8,3,1,1,1,1,4,4,4,4,4,4,2,2,2,2,3,14,4,14,1,1,2
17,2,30,1,4,2,95,1,5,5,5,5,1,7,2,1,3,1,2,3,3,3,2,2,2,3,3,5,5,3,2,2,2,2,2,3,1,2,2,3,2,2,1,1,1,3,2,3,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,1,2,2,3,3,3,3,1,3,3,2,2,2,15,3,1,1,8,15,1,15,15,1,15,15,1,1,15,2,4,4,4,15,4,4,2,2,2,1,4,8,15,8,15,1,15
11,1,28,2,3,2,50,2,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,4,3,3,3,7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,4,15,15,4,15,15,15,15,15,15,15,15,15,15,15
15,1,65,2,3,1,100,2,5,3,3,2,2,4,1,1,3,1,1,1,1,2,3,3,1,1,1,5,3,2,3,4,2,1,2,3,1,3,1,2,2,2,4,1,1,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,3,2,3,3,3,2,2,2,3,3,2,2,2,2,2,1,2,2,8,3,2,14,14,8,1,2,2,1,8,6,1,1,1,2,4,4,4,4,5,5,2,2,2,1,4,14,14,14,14,6,4
4,1,52,2,2,3,30,2,3,3,4,3,2,3,2,1,3,3,2,3,3,2,4,3,2,3,3,4,3,3,3,4,2,2,3,4,4,3,2,3,3,2,1,2,2,2,2,3,2,2,3,3,2,3,2,2,2,2,3,3,2,2,2,2,3,2,2,2,2,3,2,2,2,3,2,3,2,2,15,2,1,7,3,3,1,2,2,2,2,1,1,1,2,2,2,1,3,1,3,2,2,3,6,3,3,4,4,4,15,5,4
13,1,47,1,4,2,50,2,1,1,1,1,3,3,2,2,3,2,2,2,2,3,4,3,2,3,3,5,3,3,3,4,3,2,3,3,3,3,2,3,3,3,5,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,3,1,8,8,8,1,4,4,3,8,8,1,2,1,8,8,8,8,8,4,8,2,8,8,4,8,8,8,8,8,8,4
13,1,43,1,4,1,100,1,5,2,4,3,1,6,3,1,2,2,2,2,2,2,2,2,2,3,1,5,2,2,2,3,3,2,2,3,3,3,3,2,2,1,3,6,1,2,2,2,2,3,2,2,3,3,2,2,2,2,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,2,2,2,2,2,8,2,1,8,8,1,1,1,1,8,8,8,1,1,1,1,2,2,2,1,3,3,4,1,1,3,3,8,8,8,8,1,1
4,1,54,2,2,3,10,1,5,3,2,2,1,6,2,1,2,5,4,3,3,5,6,6,2,8,9,9,4,4,4,4,3,3,5,7,7,7,1,4,4,2,6,2,2,1,1,1,1,1,3,1,2,2,2,2,2,1,3,3,3,2,2,2,2,2,2,1,3,3,3,2,2,2,2,2,2,2,1,3,1,14,14,1,1,1,1,1,1,1,1,1,1,1,8,8,8,2,8,8,1,2,2,2,6,14,14,14,14,8,8
12,1,35,1,4,1,100,1,5,3,3,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,6,4,3,3,3,3,3,1,1,1,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,1,1,2,1,1,1,1,1,4,4,4,1,1,1
5,1,64,2,2,2,50,3,2,3,3,3,3,4,2,2,3,2,1,1,1,2,3,3,2,14,2,2,4,3,3,3,4,4,3,3,3,3,2,3,3,3,1,2,1,2,2,2,2,2,3,2,3,3,2,2,2,2,3,3,2,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,8,4,4,4,8,2,2,1,2,3,4,4,2,1,4,2,4,4,4,2,3,3,2,8,2,3,3,4,4,4,15,8,15
19,2,53,2,3,2,50,1,3,3,3,3,2,4,1,1,3,2,1,1,1,3,7,7,1,1,1,3,4,2,2,3,2,2,1,3,1,2,1,3,1,1,1,1,1,2,2,2,3,2,3,2,2,2,2,1,1,3,3,2,2,2,2,2,3,2,3,3,2,3,2,2,2,2,2,1,2,2,6,6,2,2,6,3,2,1,1,4,6,3,2,1,8,1,7,7,7,3,3,3,4,7,7,3,3,6,6,6,15,15,15
6,2,29,2,1,2,80,5,4,2,4,5,2,6,3,2,3,2,2,2,2,3,8,6,2,8,2,9,5,3,4,4,3,2,2,3,2,4,1,7,3,4,1,2,1,2,1,2,3,3,2,2,2,2,3,1,1,2,2,3,2,2,3,2,3,3,3,3,1,2,1,3,2,2,2,3,2,3,8,3,2,8,7,6,6,4,6,4,5,4,5,8,6,4,5,6,5,4,7,4,5,6,7,5,4,6,6,4,6,4,4
15,1,60,2,3,2,5,1,5,5,5,5,1,3,1,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,3,3,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,3,2,2,2,2,2,3,1,2,1,2,1,4,1,1,1,1,1,1,1,1,1,1,1,1,5,5,1,1,3,3,1,4,1,1,1,1,1,1,7,1,2
3,1,47,2,1,3,90,2,5,2,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
12,1,33,1,4,1,25,2,5,2,5,1,3,6,4,2,5,5,5,5,5,5,8,4,2,2,2,4,3,2,3,5,1,1,1,2,2,3,1,3,3,3,5,1,3,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,2,2,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
14,1,54,1,4,2,20,1,3,4,4,3,1,1,1,2,3,2,3,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,3,1,1,1,1,2,3,2,2,2,2,2,2,3,3,2,2,2,2,3,3,3,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,1,1,1,14,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,14,1,6,1,1,3
10,2,69,2,2,3,80,3,5,3,3,4,5,6,2,1,4,1,2,1,1,2,8,2,2,1,1,7,4,2,3,1,3,3,1,2,1,3,1,4,1,2,1,1,2,2,2,2,3,3,3,2,3,3,2,2,2,2,3,3,3,3,2,3,3,2,3,3,3,3,3,2,3,3,2,2,2,1,8,8,2,2,8,1,3,15,15,4,8,3,2,1,3,1,3,3,3,15,8,2,1,3,3,2,2,14,2,11,15,8,3
18,2,45,1,4,3,10,1,3,3,4,4,2,7,2,2,3,3,2,3,3,4,5,3,2,3,3,5,4,3,3,4,3,2,3,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,3,3,2,2,2,2,2,3,3,2,3,3,3,2,2,2,2,2,2,1,1,1,1,8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8
19,2,52,1,4,1,100,7,3,3,1,3,1,4,2,2,3,2,2,1,1,2,5,4,2,7,2,1,4,3,3,1,3,1,2,1,3,3,1,1,3,3,1,1,1,2,1,2,1,3,3,1,1,1,2,1,1,1,1,2,2,1,2,2,3,1,1,3,2,3,2,2,1,1,1,2,2,2,3,3,3,8,8,2,1,11,15,15,4,4,1,15,1,1,8,8,8,15,4,4,1,1,1,2,8,14,10,10,15,7,15
11,1,25,1,4,1,100,2,4,5,2,5,2,3,2,2,1,2,2,4,4,2,4,3,2,3,3,4,3,3,3,3,2,2,2,4,3,4,1,3,2,2,3,2,2,2,2,3,2,2,3,2,3,3,2,3,3,2,2,2,2,2,2,2,3,2,2,2,3,3,3,2,2,2,2,1,2,1,8,8,1,1,8,2,1,15,15,1,15,15,1,15,1,2,8,8,8,15,15,4,2,2,2,2,5,8,1,4,15,8,1
16,2,21,1,4,0,100,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
12,1,31,1,4,1,100,5,2,2,2,3,2,7,1,1,2,2,1,3,3,2,6,4,1,2,1,1,4,2,2,2,1,2,1,3,1,3,1,3,1,1,1,2,1,1,1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,14,3,1,14,14,8,1,2,2,2,3,2,1,2,8,2,8,8,8,2,4,4,2,2,8,2,4,14,14,14,1,6,1
8,2,40,2,1,2,90,4,2,1,1,1,3,8,2,1,2,3,2,3,2,3,10,6,2,3,2,14,4,3,4,5,4,3,6,3,9,5,2,6,5,3,1,2,4,2,2,3,2,3,3,3,2,2,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,8,4,2,14,14,8,2,8,8,3,8,3,2,2,3,2,8,8,8,1,3,3,2,8,3,4,12,14,11,11,1,8,3
6,2,26,2,1,2,90,2,2,2,2,2,2,4,1,1,2,1,1,1,1,2,5,3,1,12,3,2,3,1,3,3,2,3,3,3,1,1,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,3,2,2,2,9,2,1,14,14,2,1,1,1,1,14,14,1,1,1,1,14,14,14,1,2,2,2,14,3,14,3,14,14,14,15,15,15
9,2,56,2,2,2,90,4,5,5,5,3,2,3,3,1,3,2,1,2,2,2,4,2,2,2,2,3,3,2,2,1,2,1,1,2,1,2,1,2,2,1,1,4,1,3,2,2,2,2,2,2,2,2,2,3,3,2,3,3,2,3,2,3,3,3,2,2,3,3,3,2,2,2,2,3,3,3,8,8,1,8,8,8,1,3,3,3,8,1,1,1,1,1,8,8,8,15,4,4,1,6,8,6,8,8,8,8,15,1,15
1,1,27,2,1,3,40,1,2,2,2,1,2,3,1,1,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,1,1,1,8,8,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,4,3,1,1,1,1,1,2,2,2,1,1,1
15,1,69,2,3,2,90,1,4,3,3,3,1,5,1,1,3,2,2,2,2,2,4,3,1,2,2,3,3,2,2,3,2,2,3,2,1,2,1,3,2,1,3,1,1,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,3,2,2,2,2,3,3,2,2,2,2,2,2,2,4,2,2,8,8,2,2,8,8,2,8,8,1,1,1,1,3,3,3,2,3,3,2,4,4,3,3,8,8,8,15,3,2
12,1,38,1,4,5,10,2,4,2,4,2,4,12,5,3,5,4,3,5,5,4,8,6,4,5,5,5,8,4,4,5,4,3,4,5,5,5,3,4,4,4,8,3,5,1,2,2,2,1,3,3,3,3,2,1,2,3,3,3,3,3,3,3,3,3,3,2,2,3,3,2,1,1,1,1,2,1,14,3,2,6,14,3,5,5,5,3,8,8,2,1,1,2,3,3,3,1,4,4,1,3,3,3,4,8,8,8,8,8,8
12,1,36,1,4,1,100,2,4,4,4,5,2,6,1,1,2,1,1,1,1,1,1,4,2,1,1,1,3,1,1,1,2,1,2,2,2,1,1,2,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,1,1,6,3,2,1,1,3,1,5,2,1,2,1,3,1,3,1,8,4,2,6,2,2,3,5,5,5,1,1,1
18,2,45,2,3,1,100,5,2,1,2,2,1,4,3,2,3,3,3,3,3,3,4,4,2,2,2,5,3,3,4,3,2,2,2,3,2,3,1,3,3,2,1,1,1,1,1,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,3,1,8,8,2,1,2,2,2,8,8,1,1,2,3,3,3,3,2,3,3,2,8,8,8,3,8,8,8,1,4,1
18,2,44,1,4,1,100,1,5,3,5,5,1,7,2,2,3,3,3,2,2,3,1,1,3,3,3,4,4,2,3,1,3,2,2,3,3,3,2,3,3,3,1,2,1,2,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,1,4,1,3,8,1,1,1,1,3,1,1,1,1,1,1,2,2,2,1,3,3,2,1,1,2,2,6,6,4,1,8,1
17,2,39,2,4,1,100,1,1,1,1,2,3,5,3,1,3,3,1,1,1,2,8,5,2,6,1,4,4,2,4,1,2,2,2,3,3,2,1,3,2,2,1,1,1,1,2,2,1,1,1,2,2,2,1,1,1,2,3,3,2,3,3,3,3,2,3,3,2,3,1,2,1,2,2,1,2,2,8,3,1,2,8,2,2,1,2,2,2,8,1,1,15,1,4,4,2,15,2,2,1,2,2,2,2,8,8,8,15,8,15
12,1,35,1,4,2,20,1,5,5,5,5,14,14,3,1,2,14,2,8,8,4,14,14,2,14,14,14,4,4,4,8,4,1,14,4,3,14,3,4,3,2,14,1,14,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,8,1,1,1,1,1,1,1,1,1,1,1,5,5,5,1,6,6,1,4,1,1,3,2,2,2,1,1,1
20,2,65,2,3,1,100,2,2,2,2,3,2,5,2,1,3,2,2,3,3,3,4,3,2,1,2,3,3,2,3,3,2,2,2,2,3,2,2,3,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,1,1,1,2,1,2,1,2,2,2,2,2,2,2,2,1,2,2,3,1,4,8,2,2,2,2,3,8,8,2,1,1,2,3,3,3,3,3,2,2,2,2,2,2,2,2,2,1,2,2
18,2,46,1,4,4,65,4,4,4,3,4,2,8,2,2,5,3,2,2,2,3,8,8,2,3,3,5,4,3,3,1,3,2,3,4,3,3,2,5,2,2,1,2,1,2,3,2,3,3,3,2,3,3,3,3,3,2,3,3,3,2,2,2,3,2,3,2,3,3,2,2,3,3,2,2,3,3,8,3,2,6,14,3,2,7,15,8,5,5,2,3,2,2,3,3,3,15,8,3,8,3,3,14,5,14,8,8,15,2,15
15,1,60,2,3,2,25,1,3,3,3,2,1,5,5,2,4,3,2,2,2,2,5,5,2,3,2,3,3,2,2,4,3,2,2,2,2,3,1,2,2,2,2,1,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,3,3,2,2,2,2,3,3,2,3,3,3,2,2,2,2,2,2,2,2,2,1,4,4,1,1,1,1,1,3,3,1,1,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,3,5
18,2,43,1,4,4,60,4,1,3,2,3,3,6,3,2,5,3,2,4,4,5,8,5,2,5,4,8,6,3,4,5,3,3,3,4,4,6,2,4,4,3,6,3,3,1,1,3,2,3,3,2,2,2,3,3,2,2,3,3,3,2,2,3,3,2,3,2,2,3,3,2,3,3,3,2,2,1,8,4,2,8,8,2,2,2,2,1,8,4,2,1,1,2,5,5,5,1,3,3,2,4,1,2,3,8,8,8,1,8,4
3,1,46,2,1,2,10,1,5,2,5,2,3,8,2,2,4,2,2,3,3,3,8,6,3,3,2,5,4,3,5,4,3,2,3,3,3,4,2,4,3,3,1,3,1,2,1,2,2,1,3,2,2,2,1,2,1,2,3,3,3,2,1,3,2,1,1,1,2,2,2,1,1,1,1,1,2,2,15,3,15,15,2,15,15,15,15,15,1,2,15,15,15,15,15,2,15,15,2,4,2,15,15,15,15,6,5,5,15,4,15
13,1,44,1,4,1,1,1,4,5,4,3,4,6,4,1,3,2,1,5,5,3,5,4,2,14,4,14,3,2,4,5,2,1,3,6,3,5,2,3,3,2,5,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,3,3,3,3,3,3,3,3,2,2,2,2,2,1,4,1,2,1,1,1,1,1,1,1,1,1,2,3,3,3,2,4,4,2,2,2,2,2,2,2,2,15,8,15
